Country,Documents,Collaborations
Austria,1,2
Australia,2,8
Brazil,1,6
Canada,3,2
China,4,8
Germany,4,8
Spain,2,7
FR,1,0
Hungary,1,1
IE,1,6
Israel,1,1
India,2,0
Italy,2,2
JP,1,1
KR,1,0
MY,1,0
NG,1,0
Netherlands,1,2
NO,1,0
PT,1,1
RU,1,0
TR,1,0
TW,1,0
United States,4,9
ZA,1,0
